Subject,Point,Theta,R,V1,V2,V1:V2
S1,1,0.642834146,67.0793,i,NR,i.NR
S1,1,0.642834146,54.5902,a,NR,a.NR
S1,1,0.642834146,55.2726,i,R,i.R
S1,1,0.642834146,55.9623,u,R,u.R
S1,1,0.642834146,55.8445,a,R,a.R
S1,1,0.642834146,51.617,u,R,u.R
S1,1,0.642834146,55.4654,o,R,o.R
S1,1,0.642834146,54.9509,e,R,e.R
S1,1,0.642834146,50.49,e,R,e.R
S1,1,0.642834146,50.476,e,NR,e.NR
S1,1,0.642834146,56.0043,a,R,a.R
S1,1,0.642834146,57.1931,o,NR,o.NR
S1,1,0.642834146,51.2224,u,NR,u.NR
S1,1,0.642834146,56.3341,e,NR,e.NR
S1,1,0.642834146,62.2473,u,NR,u.NR
S1,1,0.642834146,62.784,a,NR,a.NR
S1,1,0.642834146,57.2719,i,NR,i.NR
S1,1,0.642834146,55.1121,a,NR,a.NR
S1,1,0.642834146,59.5723,i,R,i.R
S1,1,0.642834146,55.9881,u,R,u.R
S1,1,0.642834146,55.4625,a,R,a.R
S1,1,0.642834146,59.4979,u,R,u.R
S1,1,0.642834146,64.6581,o,R,o.R
S1,1,0.642834146,55.8387,e,R,e.R
S1,1,0.642834146,54.3105,e,R,e.R
S1,1,0.642834146,59.3625,e,NR,e.NR
S1,1,0.642834146,54.2391,a,R,a.R
S1,1,0.642834146,55.026,o,NR,o.NR
S1,1,0.642834146,55.0157,u,NR,u.NR
S1,1,0.642834146,55.7952,e,NR,e.NR
S1,1,0.642834146,62.7862,u,NR,u.NR
S1,1,0.642834146,59.5664,a,NR,a.NR
S1,1,0.642834146,64.3939,i,NR,i.NR
S1,1,0.642834146,57.5465,a,NR,a.NR
S1,1,0.642834146,59.3352,i,R,i.R
S1,1,0.642834146,52.1043,u,R,u.R
S1,1,0.642834146,51.2754,a,R,a.R
S1,1,0.642834146,53.7576,u,R,u.R
S1,1,0.642834146,61.6989,o,R,o.R
S1,1,0.642834146,56.7036,e,R,e.R
S1,1,0.642834146,57.157,e,R,e.R
S1,1,0.642834146,63.8595,e,NR,e.NR
S1,1,0.642834146,55.673,a,R,a.R
S1,1,0.642834146,51.2128,o,NR,o.NR
S1,1,0.642834146,50.6733,u,NR,u.NR
S1,1,0.642834146,56.2877,e,NR,e.NR
S1,1,0.642834146,51.6913,u,NR,u.NR
S1,1,0.642834146,56.3458,a,NR,a.NR
S1,1,0.642834146,55.2372,i,NR,i.NR
S1,1,0.642834146,57.8335,a,NR,a.NR
S1,1,0.642834146,63.537,i,R,i.R
S1,1,0.642834146,54.4091,u,R,u.R
S1,1,0.642834146,55.5781,a,R,a.R
S1,1,0.642834146,63.4472,u,R,u.R
S1,1,0.642834146,50.1285,o,R,o.R
S1,1,0.642834146,56.7375,e,R,e.R
S1,1,0.642834146,49.748,e,R,e.R
S1,1,0.642834146,57.637,e,NR,e.NR
S1,1,0.642834146,56.9156,a,R,a.R
S1,1,0.642834146,59.7166,o,NR,o.NR
S1,1,0.642834146,50.8058,u,NR,u.NR
S1,1,0.642834146,55.7584,e,NR,e.NR
S1,1,0.642834146,56.0168,u,NR,u.NR
S1,1,0.642834146,55.2895,a,NR,a.NR
S1,1,0.642834146,53.7694,i,NR,i.NR
S1,1,0.642834146,61.7011,a,NR,a.NR
S1,1,0.642834146,57.3499,i,R,i.R
S1,1,0.642834146,50.699,u,R,u.R
S1,1,0.642834146,51.6346,a,R,a.R
S1,1,0.642834146,58.8001,u,R,u.R
S1,1,0.642834146,51.695,o,R,o.R
S1,1,0.642834146,51.4101,e,R,e.R
S1,1,0.642834146,49.9158,e,R,e.R
S1,1,0.642834146,55.2755,e,NR,e.NR
S1,1,0.642834146,64.9357,a,R,a.R
S1,1,0.642834146,61.2933,o,NR,o.NR
S1,1,0.642834146,53.7113,u,NR,u.NR
S1,1,0.642834146,55.9042,e,NR,e.NR
S1,1,0.642834146,56.242,u,NR,u.NR
S1,1,0.642834146,50.1764,a,NR,a.NR
S1,1,0.642834146,60.6396,i,NR,i.NR
S1,1,0.642834146,54.2398,a,NR,a.NR
S1,1,0.642834146,57.2314,i,R,i.R
S1,1,0.642834146,53.1658,u,R,u.R
S1,1,0.642834146,55.5332,a,R,a.R
S1,1,0.642834146,52.345,u,R,u.R
S1,1,0.642834146,55.4073,o,R,o.R
S1,1,0.642834146,52.9354,e,R,e.R
S1,1,0.642834146,59.0643,e,R,e.R
S1,1,0.642834146,56.1154,e,NR,e.NR
S1,1,0.642834146,50.0476,a,R,a.R
S1,1,0.642834146,51.9688,o,NR,o.NR
S1,1,0.642834146,53.4367,u,NR,u.NR
S1,1,0.642834146,52.1065,e,NR,e.NR
S1,1,0.642834146,51.02,u,NR,u.NR
S1,1,0.642834146,50.9567,a,NR,a.NR
S2,1,0.638652081,62.9128,e,R,e.R
S2,1,0.638652081,63.417,a,NR,a.NR
S2,1,0.638652081,64.3313,u,NR,u.NR
S2,1,0.638652081,61.7976,a,R,a.R
S2,1,0.638652081,71.3363,e,NR,e.NR
S2,1,0.638652081,94.7546,u,R,u.R
S2,1,0.638652081,76.6408,i,R,i.R
S2,1,0.638652081,61.7247,i,NR,i.NR
S3,1,0.638652081,38.866,i,R,i.R
S3,1,0.638652081,39.368,u,R,u.R
S3,1,0.638652081,43.934,a,R,a.R
S3,1,0.638652081,39.228,u,R,u.R
S3,1,0.638652081,33.549,o,R,o.R
S3,1,0.638652081,37.013,e,R,e.R
S3,1,0.638652081,36.842,e,R,e.R
S3,1,0.638652081,36.842,e,NR,e.NR
S3,1,0.638652081,41.792,a,R,a.R
S3,1,0.638652081,35.762,o,NR,o.NR
S3,1,0.638652081,36.842,u,NR,u.NR
S3,1,0.638652081,36.842,e,NR,e.NR
S3,1,0.638652081,36.842,u,NR,u.NR
S3,1,0.638652081,36.842,a,NR,a.NR
S3,1,0.638652081,36.842,i,NR,i.NR
S3,1,0.638652081,36.78,a,NR,a.NR
S3,1,0.638652081,36.842,i,R,i.R
S3,1,0.638652081,35.762,u,R,u.R
S3,1,0.638652081,39.228,a,R,a.R
S3,1,0.638652081,39.228,u,R,u.R
S3,1,0.638652081,40.599,o,R,o.R
S3,1,0.638652081,36.842,e,R,e.R
S3,1,0.638652081,36.842,e,R,e.R
S3,1,0.638652081,36.842,e,NR,e.NR
S3,1,0.638652081,43.257,a,R,a.R
S3,1,0.638652081,35.762,o,NR,o.NR
S3,1,0.638652081,36.842,u,NR,u.NR
S3,1,0.638652081,36.842,e,NR,e.NR
S3,1,0.638652081,36.842,u,NR,u.NR
S3,1,0.638652081,36.842,a,NR,a.NR
S3,1,0.638652081,33.471,i,NR,i.NR
S3,1,0.638652081,36.78,a,NR,a.NR
S3,1,0.638652081,36.842,i,R,i.R
S3,1,0.638652081,39.368,u,R,u.R
S3,1,0.638652081,39.228,a,R,a.R
S3,1,0.638652081,39.228,u,R,u.R
S3,1,0.638652081,40.599,o,R,o.R
S3,1,0.638652081,36.842,e,R,e.R
S3,1,0.638652081,36.842,e,R,e.R
S3,1,0.638652081,36.842,e,NR,e.NR
S3,1,0.638652081,42.196,a,R,a.R
S3,1,0.638652081,35.762,o,NR,o.NR
S3,1,0.638652081,36.842,u,NR,u.NR
S3,1,0.638652081,36.842,e,NR,e.NR
S3,1,0.638652081,36.842,u,NR,u.NR
S3,1,0.638652081,36.842,a,NR,a.NR
S3,1,0.638652081,31.988,i,NR,i.NR
S3,1,0.638652081,36.78,a,NR,a.NR
S3,1,0.638652081,36.842,i,R,i.R
S3,1,0.638652081,39.368,u,R,u.R
S3,1,0.638652081,39.228,a,R,a.R
S3,1,0.638652081,39.228,u,R,u.R
S3,1,0.638652081,35.762,o,R,o.R
S3,1,0.638652081,40.665,e,R,e.R
S3,1,0.638652081,36.842,e,R,e.R
S3,1,0.638652081,36.842,e,NR,e.NR
S3,1,0.638652081,42.597,a,R,a.R
S3,1,0.638652081,35.762,o,NR,o.NR
S3,1,0.638652081,36.842,u,NR,u.NR
S3,1,0.638652081,36.842,e,NR,e.NR
S3,1,0.638652081,36.842,u,NR,u.NR
S3,1,0.638652081,36.842,a,NR,a.NR
S3,1,0.638652081,35.362,i,NR,i.NR
S3,1,0.638652081,36.78,a,NR,a.NR
S3,1,0.638652081,43.128,i,R,i.R
S3,1,0.638652081,39.368,u,R,u.R
